filepath,label
data/raw/Training\meningioma\Tr-me_445.jpg,meningioma
data/raw/Training\glioma\Tr-gl_333.jpg,glioma
data/raw/Training\glioma\Tr-gl_625.jpg,glioma
data/raw/Training\meningioma\Tr-me_490.jpg,meningioma
data/raw/Training\glioma\Tr-gl_651.jpg,glioma
data/raw/Training\glioma\Tr-gl_1110.jpg,glioma
data/raw/Training\pituitary\Tr-pi_55.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_78.jpg,pituitary
data/raw/Training\notumor\Tr-no_1040.jpg,notumor
data/raw/Training\pituitary\Tr-pi_69.jpg,pituitary
data/raw/Training\glioma\Tr-gl_310.jpg,glioma
data/raw/Training\notumor\Tr-no_860.jpg,notumor
data/raw/Training\meningioma\Tr-me_1028.jpg,meningioma
data/raw/Training\notumor\Tr-no_287.jpg,notumor
data/raw/Training\pituitary\Tr-pi_796.jpg,pituitary
data/raw/Training\glioma\Tr-gl_83.jpg,glioma
data/raw/Training\glioma\Tr-gl_378.jpg,glioma
data/raw/Training\meningioma\Tr-me_756.jpg,meningioma
data/raw/Training\notumor\Tr-no_283.jpg,notumor
data/raw/Training\notumor\Tr-no_1354.jpg,notumor
data/raw/Training\meningioma\Tr-me_543.jpg,meningioma
data/raw/Training\glioma\Tr-gl_524.jpg,glioma
data/raw/Training\pituitary\Tr-pi_213.jpg,pituitary
data/raw/Training\glioma\Tr-gl_153.jpg,glioma
data/raw/Training\glioma\Tr-gl_500.jpg,glioma
data/raw/Training\meningioma\Tr-me_601.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_1243.jpg,pituitary
data/raw/Training\glioma\Tr-gl_1315.jpg,glioma
data/raw/Training\pituitary\Tr-pi_1348.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_866.jpg,pituitary
data/raw/Training\meningioma\Tr-me_455.jpg,meningioma
data/raw/Training\meningioma\Tr-me_535.jpg,meningioma
data/raw/Training\notumor\Tr-no_1341.jpg,notumor
data/raw/Training\notumor\Tr-no_1156.jpg,notumor
data/raw/Training\meningioma\Tr-me_509.jpg,meningioma
data/raw/Training\notumor\Tr-no_68.jpg,notumor
data/raw/Training\meningioma\Tr-me_619.jpg,meningioma
data/raw/Training\meningioma\Tr-me_41.jpg,meningioma
data/raw/Training\notumor\Tr-no_657.jpg,notumor
data/raw/Training\meningioma\Tr-me_660.jpg,meningioma
data/raw/Training\glioma\Tr-gl_440.jpg,glioma
data/raw/Training\meningioma\Tr-me_451.jpg,meningioma
data/raw/Training\meningioma\Tr-me_1086.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_96.jpg,pituitary
data/raw/Training\glioma\Tr-gl_358.jpg,glioma
data/raw/Training\notumor\Tr-no_973.jpg,notumor
data/raw/Training\pituitary\Tr-pi_769.jpg,pituitary
data/raw/Training\meningioma\Tr-me_1239.jpg,meningioma
data/raw/Training\meningioma\Tr-me_173.jpg,meningioma
data/raw/Training\glioma\Tr-gl_1285.jpg,glioma
data/raw/Training\pituitary\Tr-pi_1379.jpg,pituitary
data/raw/Training\notumor\Tr-no_855.jpg,notumor
data/raw/Training\pituitary\Tr-pi_994.jpg,pituitary
data/raw/Training\notumor\Tr-no_715.jpg,notumor
data/raw/Training\pituitary\Tr-pi_729.jpg,pituitary
data/raw/Training\notumor\Tr-no_872.jpg,notumor
data/raw/Training\glioma\Tr-gl_928.jpg,glioma
data/raw/Training\pituitary\Tr-pi_1389.jpg,pituitary
data/raw/Training\meningioma\Tr-me_580.jpg,meningioma
data/raw/Training\notumor\Tr-no_563.jpg,notumor
data/raw/Training\pituitary\Tr-pi_1043.jpg,pituitary
data/raw/Training\notumor\Tr-no_513.jpg,notumor
data/raw/Training\pituitary\Tr-pi_482.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_70.jpg,pituitary
data/raw/Training\meningioma\Tr-me_31.jpg,meningioma
data/raw/Training\notumor\Tr-no_674.jpg,notumor
data/raw/Training\pituitary\Tr-pi_105.jpg,pituitary
data/raw/Training\meningioma\Tr-me_700.jpg,meningioma
data/raw/Training\glioma\Tr-gl_588.jpg,glioma
data/raw/Training\glioma\Tr-gl_963.jpg,glioma
data/raw/Training\pituitary\Tr-pi_209.jpg,pituitary
data/raw/Training\notumor\Tr-no_342.jpg,notumor
data/raw/Training\pituitary\Tr-pi_418.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_247.jpg,pituitary
data/raw/Training\glioma\Tr-gl_12.jpg,glioma
data/raw/Training\pituitary\Tr-pi_176.jpg,pituitary
data/raw/Training\meningioma\Tr-me_1283.jpg,meningioma
data/raw/Training\glioma\Tr-gl_300.jpg,glioma
data/raw/Training\pituitary\Tr-pi_903.jpg,pituitary
data/raw/Training\glioma\Tr-gl_481.jpg,glioma
data/raw/Training\pituitary\Tr-pi_87.jpg,pituitary
data/raw/Training\notumor\Tr-no_1190.jpg,notumor
data/raw/Training\glioma\Tr-gl_94.jpg,glioma
data/raw/Training\glioma\Tr-gl_1092.jpg,glioma
data/raw/Training\notumor\Tr-no_71.jpg,notumor
data/raw/Training\glioma\Tr-gl_1099.jpg,glioma
data/raw/Training\notumor\Tr-no_793.jpg,notumor
data/raw/Training\pituitary\Tr-pi_92.jpg,pituitary
data/raw/Training\glioma\Tr-gl_1249.jpg,glioma
data/raw/Training\pituitary\Tr-pi_278.jpg,pituitary
data/raw/Training\meningioma\Tr-me_1166.jpg,meningioma
data/raw/Training\notumor\Tr-no_265.jpg,notumor
data/raw/Training\meningioma\Tr-me_902.jpg,meningioma
data/raw/Training\glioma\Tr-gl_253.jpg,glioma
data/raw/Training\pituitary\Tr-pi_1061.jpg,pituitary
data/raw/Training\glioma\Tr-gl_455.jpg,glioma
data/raw/Training\notumor\Tr-no_449.jpg,notumor
data/raw/Training\pituitary\Tr-pi_691.jpg,pituitary
data/raw/Training\meningioma\Tr-me_718.jpg,meningioma
data/raw/Training\glioma\Tr-gl_624.jpg,glioma
data/raw/Training\meningioma\Tr-aug-me_31.jpg,meningioma
data/raw/Training\meningioma\Tr-me_776.jpg,meningioma
data/raw/Training\notumor\Tr-no_703.jpg,notumor
data/raw/Training\pituitary\Tr-pi_549.jpg,pituitary
data/raw/Training\glioma\Tr-gl_1383.jpg,glioma
data/raw/Training\meningioma\Tr-me_1096.jpg,meningioma
data/raw/Training\meningioma\Tr-me_238.jpg,meningioma
data/raw/Training\meningioma\Tr-me_652.jpg,meningioma
data/raw/Training\glioma\Tr-gl_576.jpg,glioma
data/raw/Training\glioma\Tr-gl_895.jpg,glioma
data/raw/Training\notumor\Tr-no_59.jpg,notumor
data/raw/Training\glioma\Tr-gl_790.jpg,glioma
data/raw/Training\glioma\Tr-gl_655.jpg,glioma
data/raw/Training\notumor\Tr-no_193.jpg,notumor
data/raw/Training\glioma\Tr-gl_62.jpg,glioma
data/raw/Training\notumor\Tr-no_1140.jpg,notumor
data/raw/Training\notumor\Tr-no_67.jpg,notumor
data/raw/Training\meningioma\Tr-me_1178.jpg,meningioma
data/raw/Training\meningioma\Tr-me_977.jpg,meningioma
data/raw/Training\notumor\Tr-no_884.jpg,notumor
data/raw/Training\meningioma\Tr-me_383.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_44.jpg,pituitary
data/raw/Training\notumor\Tr-no_282.jpg,notumor
data/raw/Training\glioma\Tr-gl_604.jpg,glioma
data/raw/Training\notumor\Tr-no_1199.jpg,notumor
data/raw/Training\glioma\Tr-gl_396.jpg,glioma
data/raw/Training\pituitary\Tr-pi_913.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_427.jpg,pituitary
data/raw/Training\meningioma\Tr-me_1189.jpg,meningioma
data/raw/Training\notumor\Tr-no_514.jpg,notumor
data/raw/Training\notumor\Tr-no_1270.jpg,notumor
data/raw/Training\pituitary\Tr-pi_267.jpg,pituitary
data/raw/Training\notumor\Tr-no_717.jpg,notumor
data/raw/Training\meningioma\Tr-me_1162.jpg,meningioma
data/raw/Training\meningioma\Tr-me_1161.jpg,meningioma
data/raw/Training\notumor\Tr-no_1095.jpg,notumor
data/raw/Training\pituitary\Tr-pi_888.jpg,pituitary
data/raw/Training\meningioma\Tr-me_297.jpg,meningioma
data/raw/Training\glioma\Tr-gl_913.jpg,glioma
data/raw/Training\meningioma\Tr-me_356.jpg,meningioma
data/raw/Training\glioma\Tr-gl_807.jpg,glioma
data/raw/Training\meningioma\Tr-me_1255.jpg,meningioma
data/raw/Training\meningioma\Tr-me_1063.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_474.jpg,pituitary
data/raw/Training\notumor\Tr-no_1001.jpg,notumor
data/raw/Training\notumor\Tr-no_596.jpg,notumor
data/raw/Training\pituitary\Tr-pi_951.jpg,pituitary
data/raw/Training\notumor\Tr-no_94.jpg,notumor
data/raw/Training\notumor\Tr-no_214.jpg,notumor
data/raw/Training\pituitary\Tr-pi_115.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_175.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_1171.jpg,pituitary
data/raw/Training\meningioma\Tr-me_16.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_677.jpg,pituitary
data/raw/Training\glioma\Tr-gl_1271.jpg,glioma
data/raw/Training\pituitary\Tr-pi_627.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_825.jpg,pituitary
data/raw/Training\meningioma\Tr-me_471.jpg,meningioma
data/raw/Training\glioma\Tr-gl_746.jpg,glioma
data/raw/Training\pituitary\Tr-pi_1322.jpg,pituitary
data/raw/Training\meningioma\Tr-me_406.jpg,meningioma
data/raw/Training\glioma\Tr-gl_1213.jpg,glioma
data/raw/Training\notumor\Tr-no_803.jpg,notumor
data/raw/Training\pituitary\Tr-pi_484.jpg,pituitary
data/raw/Training\glioma\Tr-gl_823.jpg,glioma
data/raw/Training\pituitary\Tr-pi_621.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_93.jpg,pituitary
data/raw/Training\notumor\Tr-no_39.jpg,notumor
data/raw/Training\pituitary\Tr-pi_1056.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_437.jpg,pituitary
data/raw/Training\glioma\Tr-gl_213.jpg,glioma
data/raw/Training\meningioma\Tr-me_223.jpg,meningioma
data/raw/Training\glioma\Tr-gl_502.jpg,glioma
data/raw/Training\notumor\Tr-no_1240.jpg,notumor
data/raw/Training\glioma\Tr-gl_995.jpg,glioma
data/raw/Training\glioma\Tr-gl_1074.jpg,glioma
data/raw/Training\pituitary\Tr-pi_558.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_1313.jpg,pituitary
data/raw/Training\notumor\Tr-no_175.jpg,notumor
data/raw/Training\pituitary\Tr-pi_466.jpg,pituitary
data/raw/Training\meningioma\Tr-me_381.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_518.jpg,pituitary
data/raw/Training\meningioma\Tr-me_92.jpg,meningioma
data/raw/Training\glioma\Tr-gl_982.jpg,glioma
data/raw/Training\glioma\Tr-gl_323.jpg,glioma
data/raw/Training\notumor\Tr-no_1066.jpg,notumor
data/raw/Training\glioma\Tr-gl_884.jpg,glioma
data/raw/Training\glioma\Tr-gl_1139.jpg,glioma
data/raw/Training\notumor\Tr-no_796.jpg,notumor
data/raw/Training\meningioma\Tr-me_761.jpg,meningioma
data/raw/Training\notumor\Tr-no_1130.jpg,notumor
data/raw/Training\notumor\Tr-no_739.jpg,notumor
data/raw/Training\glioma\Tr-gl_516.jpg,glioma
data/raw/Training\meningioma\Tr-me_387.jpg,meningioma
data/raw/Training\notumor\Tr-no_821.jpg,notumor
data/raw/Training\pituitary\Tr-pi_47.jpg,pituitary
data/raw/Training\meningioma\Tr-me_134.jpg,meningioma
data/raw/Training\glioma\Tr-gl_1234.jpg,glioma
data/raw/Training\pituitary\Tr-pi_268.jpg,pituitary
data/raw/Training\meningioma\Tr-me_1135.jpg,meningioma
data/raw/Training\meningioma\Tr-me_656.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_275.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_449.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_794.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_685.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_980.jpg,pituitary
data/raw/Training\meningioma\Tr-me_1107.jpg,meningioma
data/raw/Training\notumor\Tr-no_938.jpg,notumor
data/raw/Training\glioma\Tr-gl_1022.jpg,glioma
data/raw/Training\notumor\Tr-no_556.jpg,notumor
data/raw/Training\pituitary\Tr-pi_808.jpg,pituitary
data/raw/Training\notumor\Tr-no_886.jpg,notumor
data/raw/Training\pituitary\Tr-pi_123.jpg,pituitary
data/raw/Training\meningioma\Tr-aug-me_52.jpg,meningioma
data/raw/Training\notumor\Tr-no_670.jpg,notumor
data/raw/Training\notumor\Tr-no_1278.jpg,notumor
data/raw/Training\notumor\Tr-no_677.jpg,notumor
data/raw/Training\notumor\Tr-no_397.jpg,notumor
data/raw/Training\meningioma\Tr-me_790.jpg,meningioma
data/raw/Training\notumor\Tr-no_607.jpg,notumor
data/raw/Training\notumor\Tr-no_528.jpg,notumor
data/raw/Training\glioma\Tr-gl_1069.jpg,glioma
data/raw/Training\notumor\Tr-no_402.jpg,notumor
data/raw/Training\notumor\Tr-no_1298.jpg,notumor
data/raw/Training\glioma\Tr-gl_1045.jpg,glioma
data/raw/Training\notumor\Tr-no_1047.jpg,notumor
data/raw/Training\notumor\Tr-no_954.jpg,notumor
data/raw/Training\meningioma\Tr-me_952.jpg,meningioma
data/raw/Training\notumor\Tr-no_55.jpg,notumor
data/raw/Training\glioma\Tr-gl_215.jpg,glioma
data/raw/Training\glioma\Tr-gl_1303.jpg,glioma
data/raw/Training\meningioma\Tr-me_275.jpg,meningioma
data/raw/Training\meningioma\Tr-me_997.jpg,meningioma
data/raw/Training\meningioma\Tr-me_707.jpg,meningioma
data/raw/Training\notumor\Tr-no_1256.jpg,notumor
data/raw/Training\glioma\Tr-gl_1312.jpg,glioma
data/raw/Training\pituitary\Tr-pi_595.jpg,pituitary
data/raw/Training\glioma\Tr-gl_160.jpg,glioma
data/raw/Training\meningioma\Tr-me_1230.jpg,meningioma
data/raw/Training\notumor\Tr-no_312.jpg,notumor
data/raw/Training\notumor\Tr-no_1372.jpg,notumor
data/raw/Training\pituitary\Tr-pi_856.jpg,pituitary
data/raw/Training\notumor\Tr-no_530.jpg,notumor
data/raw/Training\pituitary\Tr-pi_1296.jpg,pituitary
data/raw/Training\meningioma\Tr-me_589.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_1319.jpg,pituitary
data/raw/Training\glioma\Tr-gl_1297.jpg,glioma
data/raw/Training\pituitary\Tr-pi_1356.jpg,pituitary
data/raw/Training\glioma\Tr-gl_104.jpg,glioma
data/raw/Training\glioma\Tr-gl_1081.jpg,glioma
data/raw/Training\notumor\Tr-no_545.jpg,notumor
data/raw/Training\notumor\Tr-no_152.jpg,notumor
data/raw/Training\meningioma\Tr-me_661.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_299.jpg,pituitary
data/raw/Training\glioma\Tr-gl_329.jpg,glioma
data/raw/Training\notumor\Tr-no_523.jpg,notumor
data/raw/Training\notumor\Tr-no_984.jpg,notumor
data/raw/Training\pituitary\Tr-pi_1285.jpg,pituitary
data/raw/Training\glioma\Tr-gl_994.jpg,glioma
data/raw/Training\glioma\Tr-gl_1394.jpg,glioma
data/raw/Training\meningioma\Tr-me_18.jpg,meningioma
data/raw/Training\glioma\Tr-gl_205.jpg,glioma
data/raw/Training\pituitary\Tr-pi_879.jpg,pituitary
data/raw/Training\notumor\Tr-no_925.jpg,notumor
data/raw/Training\glioma\Tr-gl_974.jpg,glioma
data/raw/Training\pituitary\Tr-pi_843.jpg,pituitary
data/raw/Training\notumor\Tr-no_205.jpg,notumor
data/raw/Training\glioma\Tr-gl_881.jpg,glioma
data/raw/Training\pituitary\Tr-pi_29.jpg,pituitary
data/raw/Training\notumor\Tr-no_480.jpg,notumor
data/raw/Training\pituitary\Tr-pi_997.jpg,pituitary
data/raw/Training\glioma\Tr-gl_1252.jpg,glioma
data/raw/Training\pituitary\Tr-pi_1280.jpg,pituitary
data/raw/Training\glioma\Tr-gl_1299.jpg,glioma
data/raw/Training\pituitary\Tr-pi_1340.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_133.jpg,pituitary
data/raw/Training\glioma\Tr-gl_81.jpg,glioma
data/raw/Training\pituitary\Tr-pi_701.jpg,pituitary
data/raw/Training\meningioma\Tr-me_890.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_1117.jpg,pituitary
data/raw/Training\notumor\Tr-no_953.jpg,notumor
data/raw/Training\meningioma\Tr-me_1175.jpg,meningioma
data/raw/Training\notumor\Tr-no_221.jpg,notumor
data/raw/Training\meningioma\Tr-me_279.jpg,meningioma
data/raw/Training\meningioma\Tr-me_1207.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_312.jpg,pituitary
data/raw/Training\glioma\Tr-gl_559.jpg,glioma
data/raw/Training\notumor\Tr-no_1111.jpg,notumor
data/raw/Training\glioma\Tr-gl_829.jpg,glioma
data/raw/Training\meningioma\Tr-me_603.jpg,meningioma
data/raw/Training\glioma\Tr-gl_1197.jpg,glioma
data/raw/Training\glioma\Tr-gl_940.jpg,glioma
data/raw/Training\pituitary\Tr-pi_1395.jpg,pituitary
data/raw/Training\glioma\Tr-gl_1209.jpg,glioma
data/raw/Training\meningioma\Tr-me_769.jpg,meningioma
data/raw/Training\notumor\Tr-no_191.jpg,notumor
data/raw/Training\pituitary\Tr-pi_982.jpg,pituitary
data/raw/Training\meningioma\Tr-me_5.jpg,meningioma
data/raw/Training\notumor\Tr-no_894.jpg,notumor
data/raw/Training\notumor\Tr-no_1042.jpg,notumor
data/raw/Training\meningioma\Tr-me_1172.jpg,meningioma
data/raw/Training\meningioma\Tr-me_546.jpg,meningioma
data/raw/Training\notumor\Tr-no_385.jpg,notumor
data/raw/Training\pituitary\Tr-pi_1116.jpg,pituitary
data/raw/Training\notumor\Tr-no_479.jpg,notumor
data/raw/Training\glioma\Tr-gl_364.jpg,glioma
data/raw/Training\glioma\Tr-gl_1292.jpg,glioma
data/raw/Training\meningioma\Tr-me_1072.jpg,meningioma
data/raw/Training\glioma\Tr-gl_388.jpg,glioma
data/raw/Training\meningioma\Tr-me_864.jpg,meningioma
data/raw/Training\glioma\Tr-gl_1320.jpg,glioma
data/raw/Training\glioma\Tr-gl_1098.jpg,glioma
data/raw/Training\glioma\Tr-gl_80.jpg,glioma
data/raw/Training\pituitary\Tr-pi_97.jpg,pituitary
data/raw/Training\notumor\Tr-no_128.jpg,notumor
data/raw/Training\notumor\Tr-no_1381.jpg,notumor
data/raw/Training\meningioma\Tr-me_419.jpg,meningioma
data/raw/Training\meningioma\Tr-me_343.jpg,meningioma
data/raw/Training\glioma\Tr-gl_687.jpg,glioma
data/raw/Training\pituitary\Tr-pi_139.jpg,pituitary
data/raw/Training\meningioma\Tr-me_908.jpg,meningioma
data/raw/Training\glioma\Tr-gl_637.jpg,glioma
data/raw/Training\notumor\Tr-no_389.jpg,notumor
data/raw/Training\meningioma\Tr-me_1200.jpg,meningioma
data/raw/Training\glioma\Tr-gl_1076.jpg,glioma
data/raw/Training\meningioma\Tr-me_1136.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_1388.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_707.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_777.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_1168.jpg,pituitary
data/raw/Training\notumor\Tr-no_737.jpg,notumor
data/raw/Training\notumor\Tr-no_141.jpg,notumor
data/raw/Training\glioma\Tr-gl_33.jpg,glioma
data/raw/Training\pituitary\Tr-pi_1274.jpg,pituitary
data/raw/Training\notumor\Tr-no_672.jpg,notumor
data/raw/Training\glioma\Tr-gl_1392.jpg,glioma
data/raw/Training\notumor\Tr-no_447.jpg,notumor
data/raw/Training\notumor\Tr-no_1364.jpg,notumor
data/raw/Training\glioma\Tr-gl_39.jpg,glioma
data/raw/Training\glioma\Tr-gl_228.jpg,glioma
data/raw/Training\glioma\Tr-gl_753.jpg,glioma
data/raw/Training\meningioma\Tr-me_385.jpg,meningioma
data/raw/Training\meningioma\Tr-aug-me_96.jpg,meningioma
data/raw/Training\glioma\Tr-gl_993.jpg,glioma
data/raw/Training\pituitary\Tr-pi_532.jpg,pituitary
data/raw/Training\glioma\Tr-gl_352.jpg,glioma
data/raw/Training\pituitary\Tr-pi_169.jpg,pituitary
data/raw/Training\notumor\Tr-no_922.jpg,notumor
data/raw/Training\pituitary\Tr-pi_540.jpg,pituitary
data/raw/Training\glioma\Tr-gl_894.jpg,glioma
data/raw/Training\meningioma\Tr-me_247.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_1332.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_229.jpg,pituitary
data/raw/Training\meningioma\Tr-me_220.jpg,meningioma
data/raw/Training\meningioma\Tr-me_1286.jpg,meningioma
data/raw/Training\glioma\Tr-gl_143.jpg,glioma
data/raw/Training\notumor\Tr-no_1104.jpg,notumor
data/raw/Training\notumor\Tr-no_1294.jpg,notumor
data/raw/Training\meningioma\Tr-me_581.jpg,meningioma
data/raw/Training\notumor\Tr-no_179.jpg,notumor
data/raw/Training\meningioma\Tr-me_1114.jpg,meningioma
data/raw/Training\meningioma\Tr-me_519.jpg,meningioma
data/raw/Training\glioma\Tr-gl_1126.jpg,glioma
data/raw/Training\pituitary\Tr-pi_851.jpg,pituitary
data/raw/Training\meningioma\Tr-me_614.jpg,meningioma
data/raw/Training\meningioma\Tr-me_1174.jpg,meningioma
data/raw/Training\meningioma\Tr-me_644.jpg,meningioma
data/raw/Training\meningioma\Tr-me_582.jpg,meningioma
data/raw/Training\notumor\Tr-no_222.jpg,notumor
data/raw/Training\pituitary\Tr-pi_658.jpg,pituitary
data/raw/Training\meningioma\Tr-me_418.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_618.jpg,pituitary
data/raw/Training\glioma\Tr-gl_819.jpg,glioma
data/raw/Training\pituitary\Tr-pi_1090.jpg,pituitary
data/raw/Training\meningioma\Tr-me_468.jpg,meningioma
data/raw/Training\glioma\Tr-gl_590.jpg,glioma
data/raw/Training\glioma\Tr-gl_1367.jpg,glioma
data/raw/Training\notumor\Tr-no_409.jpg,notumor
data/raw/Training\glioma\Tr-gl_77.jpg,glioma
data/raw/Training\glioma\Tr-gl_176.jpg,glioma
data/raw/Training\pituitary\Tr-pi_1060.jpg,pituitary
data/raw/Training\notumor\Tr-no_1097.jpg,notumor
data/raw/Training\notumor\Tr-no_314.jpg,notumor
data/raw/Training\pituitary\Tr-pi_854.jpg,pituitary
data/raw/Training\glioma\Tr-gl_885.jpg,glioma
data/raw/Training\pituitary\Tr-pi_1097.jpg,pituitary
data/raw/Training\glioma\Tr-gl_836.jpg,glioma
data/raw/Training\pituitary\Tr-pi_469.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_783.jpg,pituitary
data/raw/Training\glioma\Tr-gl_1251.jpg,glioma
data/raw/Training\glioma\Tr-gl_385.jpg,glioma
data/raw/Training\glioma\Tr-gl_665.jpg,glioma
data/raw/Training\meningioma\Tr-me_1212.jpg,meningioma
data/raw/Training\glioma\Tr-gl_349.jpg,glioma
data/raw/Training\meningioma\Tr-me_1289.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_609.jpg,pituitary
data/raw/Training\glioma\Tr-gl_542.jpg,glioma
data/raw/Training\notumor\Tr-no_818.jpg,notumor
data/raw/Training\meningioma\Tr-me_289.jpg,meningioma
data/raw/Training\notumor\Tr-no_1035.jpg,notumor
data/raw/Training\meningioma\Tr-me_1249.jpg,meningioma
data/raw/Training\glioma\Tr-gl_473.jpg,glioma
data/raw/Training\glioma\Tr-gl_1129.jpg,glioma
data/raw/Training\meningioma\Tr-me_1275.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_1141.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_1218.jpg,pituitary
data/raw/Training\glioma\Tr-gl_1187.jpg,glioma
data/raw/Training\meningioma\Tr-me_311.jpg,meningioma
data/raw/Training\notumor\Tr-no_208.jpg,notumor
data/raw/Training\meningioma\Tr-me_1122.jpg,meningioma
data/raw/Training\glioma\Tr-gl_231.jpg,glioma
data/raw/Training\pituitary\Tr-pi_914.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_237.jpg,pituitary
data/raw/Training\glioma\Tr-gl_910.jpg,glioma
data/raw/Training\glioma\Tr-gl_1377.jpg,glioma
data/raw/Training\notumor\Tr-no_1161.jpg,notumor
data/raw/Training\pituitary\Tr-pi_923.jpg,pituitary
data/raw/Training\notumor\Tr-no_684.jpg,notumor
data/raw/Training\glioma\Tr-gl_1151.jpg,glioma
data/raw/Training\notumor\Tr-no_1091.jpg,notumor
data/raw/Training\meningioma\Tr-me_44.jpg,meningioma
data/raw/Training\notumor\Tr-no_1015.jpg,notumor
data/raw/Training\meningioma\Tr-me_362.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_95.jpg,pituitary
data/raw/Training\glioma\Tr-gl_901.jpg,glioma
data/raw/Training\pituitary\Tr-pi_406.jpg,pituitary
data/raw/Training\notumor\Tr-no_1222.jpg,notumor
data/raw/Training\glioma\Tr-gl_1398.jpg,glioma
data/raw/Training\notumor\Tr-no_1231.jpg,notumor
data/raw/Training\glioma\Tr-gl_1204.jpg,glioma
data/raw/Training\meningioma\Tr-me_1019.jpg,meningioma
data/raw/Training\meningioma\Tr-me_67.jpg,meningioma
data/raw/Training\meningioma\Tr-me_869.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_142.jpg,pituitary
data/raw/Training\meningioma\Tr-me_491.jpg,meningioma
data/raw/Training\notumor\Tr-no_264.jpg,notumor
data/raw/Training\meningioma\Tr-me_811.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_23.jpg,pituitary
data/raw/Training\glioma\Tr-gl_1203.jpg,glioma
data/raw/Training\notumor\Tr-no_879.jpg,notumor
data/raw/Training\glioma\Tr-gl_173.jpg,glioma
data/raw/Training\meningioma\Tr-me_195.jpg,meningioma
data/raw/Training\meningioma\Tr-me_125.jpg,meningioma
data/raw/Training\glioma\Tr-gl_87.jpg,glioma
data/raw/Training\pituitary\Tr-pi_1282.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_1330.jpg,pituitary
data/raw/Training\meningioma\Tr-me_1111.jpg,meningioma
data/raw/Training\meningioma\Tr-me_185.jpg,meningioma
data/raw/Training\meningioma\Tr-aug-me_13.jpg,meningioma
data/raw/Training\meningioma\Tr-me_949.jpg,meningioma
data/raw/Training\meningioma\Tr-me_693.jpg,meningioma
data/raw/Training\glioma\Tr-gl_781.jpg,glioma
data/raw/Training\pituitary\Tr-pi_376.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_126.jpg,pituitary
data/raw/Training\meningioma\Tr-me_204.jpg,meningioma
data/raw/Training\pituitary\Tr-pi_1096.jpg,pituitary
data/raw/Training\pituitary\Tr-pi_284.jpg,pituitary
data/raw/Training\meningioma\Tr-me_112.jpg,meningioma
data/raw/Training\glioma\Tr-gl_971.jpg,glioma
data/raw/Training\meningioma\Tr-me_207.jpg,meningioma
data/raw/Training\meningioma\Tr-me_194.jpg,meningioma
data/raw/Training\notumor\Tr-no_518.jpg,notumor
data/raw/Training\notumor\Tr-no_347.jpg,notumor
data/raw/Training\meningioma\Tr-aug-me_46.jpg,meningioma
data/raw/Training\notumor\Tr-no_395.jpg,notumor
data/raw/Training\notumor\Tr-no_25.jpg,notumor
data/raw/Training\pituitary\Tr-pi_1145.jpg,pituitary
data/raw/Training\meningioma\Tr-me_1052.jpg,meningioma
